"PIN","age","sex","sexOrient","sexOrientText","gender","genderText","relStat","relStatText","raceAAPI","raceBlack","raceLatinx","raceNAAI","raceMENA","raceWhite","raceNA","religion","politics","international","poliDQVC","poliDQMC","poliDQSC","poliDQCent","poliDQSL","poliDQML","poliDQVL","ageDQ18","ageDQ19","ageDQ20","ageDQ21","ageDQ22","ageDQ23_25","ageDQ26plus","raceDQAAPI","raceDQBlack","raceDQLatinx","raceDQNAAI","raceDQMENA","raceDQWhite","religionDQ1","religionDQ2","religionDQ3","religionDQ4","religionDQ5","religionDQ6","religionDQ7","religionDQ8","religionDQ9","religionDQ10","religionDQ11","internationalDQDom","internationalDQInt","idealAffectionComp","idealAmbitionComp","idealArtisticComp","idealDispositionComp","idealFamilyComp","idealHealthComp","idealHumorComp","idealIntelligentComp","idealKindComp","idealParentingComp","idealPhysattComp","idealReligiousComp","idealResourcesComp","idealSexyComp","idealStatusComp","selfAffectionateComp","selfAmbitionComp","selfArtisticComp","selfDispositionComp","selfFamilyComp","selfHealthComp","selfHumorComp","selfIntelligentComp","selfKindComp","selfParentingComp","selfPhysattComp","selfReligiousComp","selfResourcesComp","selfSexyComp","selfStatusComp","quarter"
"f24372620",19,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,6,7,0,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,7,9.5,7,6,5.5,5.5,5,7,5,7,6,5,5,6.5,7,5,9.5,6,8,7,5.5,3.5,6.5,5,5,5.5,5,8.5,5.5,6.5,"fall"
"f24795756",18,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,1,6,0,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,6,5.5,6,5,5,6,7,6,5.5,5,7,5,5,5.5,6,6.5,6.5,5,7,4,6,6,6.5,5.5,4.5,7,5.5,5,5,"fall"
"f24953820",19,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,4,4,0,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.5,7,5.5,6.5,6.5,6,6.5,7,7,5,7,5,5,6.5,7,5.5,6,5.5,5,6.5,5.5,6.5,7,6.5,5,6,8,7,6,6.5,"fall"
"f24239318",21,0,1,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,1,7,0,NA,NA,NA,NA,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,NA,1,1,1,1,1,1,1,6.5,6,4,5.5,4,6,8,8.5,6.5,7.5,10,3.5,10,8,9,8.5,5,5,3.5,9,4.5,10,6.5,6,5,6,3,6.5,7,5,"fall"
"f24662666",18,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,2,6,0,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8.5,7.5,5,7.5,6.5,8,8,8.5,7.5,8,7,5,10,6.5,7.5,7,7,5,6.5,5.5,7.5,7.5,7,6,8,5.5,5,6,6,7,"fall"
"f2467602",21,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,1,NA,11,7,0,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,8,10,6.5,6.5,10,9.5,7.5,7,7,5,7,6,5.5,9.5,9.5,9,8.5,7.5,6,10,5.5,7,6.5,5,4,5.5,7,5.5,"fall"
"f24989350",18,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,7,0,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,9,8,8,8,8,9,9.5,8,7.5,5,8,1,9,8,7.5,8,7,9,5,9.5,7,9,9,8,5.5,8.5,0.5,3.5,5,5,"fall"
"f24814709",20,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,2,5,0,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,6.5,7.5,4.5,5.5,5,6,6.5,7.5,6.5,6.5,7.5,4.5,6.5,9,6,5,8,4.5,5.5,5.5,6,7,7,6.5,7.5,5,2,4.5,6.5,6,"fall"
"f24899101",18,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,2,6,0,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,5,5.5,6.5,5,7.5,6.5,5,7.5,7,6,5,6.5,5.5,6,5.5,6.5,6.5,6.5,5,5.5,6.5,5,7,7.5,5,5,3.5,5,5.5,"fall"
"f24781167",21,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,10,5,0,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,6.5,7,6,7.5,5.5,7,7.5,7,7,6,6.5,0,7,5.5,6,7,6.5,4.5,5,5,6,6.5,8,6,5.5,5,0,7,6,6,"fall"
"f24455674",18,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,12,4,1,NA,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,5.5,5,5.5,5,6,5,7,5.5,5.5,6.5,5,5.5,5.5,6,9,9,7.5,8.5,8.5,9,5.5,10,9,7.5,6,1.5,9,8.5,6,"fall"
"f24754638",18,1,3,NA,1,"",1,"",NA,1,1,NA,1,NA,NA,1,6,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.5,5,5,7,5,6.5,6.5,6,6,5.5,5,5,5,6,5,7,3.5,3.5,7,7.5,5,7,7,6,3.5,2,4,6.5,7,4.5,"fall"
"f24993564",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,11,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,6,8.5,3.5,4,5,5.5,6,6,5,9,5.5,0.5,6,6,5.5,5.5,6,3.5,5.5,5.5,6.5,3.5,5.5,5,6.5,6.5,3,6.5,6,5.5,"fall"
"f24982486",18,0,1,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,12,4,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,7,6,4,6.5,8,5,7.5,5.5,6.5,5,9,1,8,5,9,6,7,9.5,7,9,7.5,9,6,8.5,6.5,10,0,8,5,8,"fall"
"f24587652",20,0,1,NA,0,"",1,"",1,NA,NA,NA,NA,1,NA,2,7,0,NA,NA,NA,1,1,1,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,6,7,6,5,6.5,5,5.5,7.5,6,6.5,5.5,5,6,6,6.5,6,7.5,6,5.5,7.5,6,7,6.5,5,5.5,5.5,4.5,6,6.5,7,"fall"
"f24169226",23,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,NA,NA,12,4,0,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.5,7,5.5,5,5.5,7,7,7,8,7,7,5.5,6.5,6,5.5,6,6,4.5,5.5,7.5,6,7,7,6.5,8,6.5,5,5.5,6,6,"fall"
"f24578667",19,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,10,6,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,1,NA,1,1,1,1,1,1,1,1,1,1,9,6.5,5,3,6,9,8.5,5.5,7,10,9,0,5,5,6,7.5,5.5,0,3.5,2,7,9,5,5.5,8.5,6,0,5,5,5,"fall"
"f24162529",19,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6.5,6,6,5,6.5,6.5,6.5,5.5,6,7,5.5,5,5.5,6,6,6,6.5,6,6,6.5,6.5,7,6,7,7.5,6.5,4,6,6,6,"fall"
"f24656131",19,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,11,5,0,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,NA,7,8,6,7,5,6.5,9.5,7.5,7,5,7.5,1,7,6,7.5,8.5,6.5,8,7.5,9.5,6.5,9,6.5,8,9,7.5,5,6.5,8,7.5,"fall"
"f24844300",22,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,1,NA,2,6,0,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,1,NA,1,NA,1,NA,NA,1,NA,1,1,NA,1,1,1,1,7.5,7,6,6,8.5,6,8.5,7,7.5,7.5,6,1,6,8.5,8.5,7,6,5.5,6,6,5,6.5,6,9.5,6.5,6,1,6.5,6.5,5.5,"fall"
"f24110446",24,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,11,4,0,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,5.5,6.5,5,6,5,6,6.5,5.5,6,5,5,6,5,5.5,5,5,5,3.5,5,5,5,5.5,5,5,2,4.5,5,5,"fall"
"f24986586",18,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,2,6,0,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,7,7,5,6.5,5.5,7.5,7.5,7,7.5,6,7,6,6.5,5.5,5.5,7,7,5.5,5,7.5,5,7.5,5,5.5,7.5,5.5,8,4.5,6,5,"fall"
"f24982733",19,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,12,6,0,NA,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,6,9,7,7,6.5,7.5,9,8,6,4.5,8.5,4.5,5.5,5,7,5.5,10,9.5,6,6,8,7,9.5,5.5,5.5,5.5,5,5.5,4,7.5,"fall"
"f24180864",20,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,9,6,0,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,NA,7,9,8,6.5,7.5,9,8,7.5,8,6.5,7.5,5.5,8.5,5,8,7,6.5,8,5,8,7.5,7.5,7,8,7.5,5,6.5,6.5,4.5,5,"fall"
"f24450507",20,1,3,NA,3,"Gender fluid",1,"",1,NA,NA,NA,NA,NA,NA,10,7,0,NA,NA,NA,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,1,NA,1,1,1,1,6,8.5,9,5.5,6,6,7.5,7.5,10,6.5,7.5,1,6,5,7,5,7,6.5,7,7.5,6,9.5,6,9.5,6.5,5.5,0,5.5,5,9,"fall"
"f24771795",18,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,4,0,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,1,NA,1,1,1,1,1,NA,7.5,5,4.5,5.5,5,5.5,7.5,6.5,7,1.5,5.5,2.5,5,6.5,5.5,7,4,1.5,6.5,8,6,8,9.5,7,2,6.5,1,8,8.5,7,"fall"
"f24447405",19,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,1,6,0,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,7,7.5,5,8,8,8,7.5,7.5,7.5,6.5,6.5,5,6.5,7,6.5,6.5,8,6.5,8,9.5,8,8,8,7.5,6.5,6.5,3.5,7,7,6.5,"fall"
"f24445621",19,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,1,5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,5.5,6,4,5.5,6.5,7.5,6,5.5,6.5,6.5,7,5,5,6,5,4.5,6.5,4.5,6,9.5,9,7,7.5,6,5,6.5,8,7.5,6,7,"fall"
"f24708573",20,0,1,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,11,6,0,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,5.5,5,7,7,6,6,7.5,6.5,6.5,5.5,5,1,5,5,5,5.5,3,8,7.5,8,6,8,6.5,7,5,5,1.5,5,5,5,"fall"
"f24745658",20,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,1,5,0,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,7.5,8.5,7,9,5.5,7.5,9,6,10,7.5,7.5,4,7,6,7.5,8,8.5,4,9.5,5,10,8.5,6.5,8,7.5,8,2,6,2.5,8,"fall"
"f24684389",19,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,12,6,0,NA,NA,NA,1,1,1,NA,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,8,8.5,4.5,6.5,6,7.5,6.5,6,9,5,7.5,1,7,8,5.5,8.5,9.5,4,8.5,9.5,9,6.5,7.5,10,7,8,4.5,6.5,7.5,6,"fall"
"f24723636",19,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,NA,NA,11,4,0,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,6.5,8,6.5,5.5,5.5,7,8.5,5.5,5,1,5.5,4.5,3,9,6.5,6.5,6.5,6,6,7.5,7.5,10,5,5.5,1,7.5,2.5,3,8.5,6,"fall"
"f24882234",20,1,3,NA,1,"",1,"",1,NA,NA,NA,1,NA,NA,7,4,0,NA,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,NA,NA,1,NA,10,9,7,9,7.5,8,8.5,7,8.5,9,8,5,6,8,9,10,10,7,8,9.5,9,8.5,8.5,10,10,8,6,8,10,10,"fall"
"f24606564",20,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,10,4,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,7.5,6,6,7.5,8,8.5,7,8,7.5,8,10,4.5,8,8.5,8,7,8.5,7.5,7,8,8,5.5,6.5,7,7,7,4,10,6.5,6,"fall"
"f24427396",18,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,10,6,0,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,5,6,5.5,7,7.5,6,7,6,8,5.5,6,1.5,7,5.5,7,6,6,6,7.5,7.5,6,5,6,8,4.5,5,0,4.5,5,6.5,"fall"
"f24733246",19,0,1,NA,3,"Idk",1,"",NA,NA,NA,NA,1,1,NA,12,7,0,NA,NA,NA,1,1,1,1,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,5,6,6.5,5.5,5.5,5,7,8,7,5,7,5,5,6,5.5,4.5,7.5,8,6,7,5,6.5,7,8,5,7.5,5,7.5,5,5,"fall"
"f2480676",18,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,NA,NA,12,6,0,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8.5,9,7.5,8.5,10,6,6.5,7.5,9,9,8,3,6.5,6,8.5,6,9.5,5.5,8.5,10,5,8,7,10,9.5,6.5,3,5,5,9.5,"fall"
"f24947525",20,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,12,6,0,NA,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.5,5.5,5.5,6.5,5.5,7,7.5,6.5,7.5,6.5,6.5,2.5,5,7,6,8,7,10,7,8,6.5,7,6.5,5.5,6.5,6.5,1.5,5.5,6.5,7,"fall"
"f24277373",10,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,10,6,0,NA,NA,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,6,8.5,6,6.5,6.5,8,8.5,8.5,6.5,6.5,7,0,6.5,7.5,7.5,5.5,8.5,6,6,7,7,8.5,8.5,6.5,6.5,7,0,8.5,6,6.5,"fall"
"f24628437",19,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,2,6,0,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,5,6,3.5,6.5,7.5,7,9.5,5,5.5,4.5,5,4.5,5,7,6.5,3.5,7.5,3,8,10,8.5,7,7.5,8,4,7.5,4.5,5,6.5,5.5,"fall"
"f24438165",19,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,5,6,0,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,NA,1,NA,1,1,1,NA,1,NA,1,1,1,NA,8,7.5,7,8,7,7.5,9,8,9,7,5,5,5.5,6.5,8.5,6.5,7,6.5,8.5,10,8,9.5,7,7,5.5,7,3,7,5.5,6.5,"fall"
"f24133547",19,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,11,7,0,NA,NA,NA,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,6.5,7,5.5,6.5,5,6.5,6,7.5,6.5,5,5,3,5,5,6,5.5,7.5,8.5,5,9,6,6,7.5,7,5,6,1,6.5,6,6.5,"fall"
"f24422273",18,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,11,4,0,NA,NA,1,1,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,10,8,6.5,8,10,7,8.5,7,9.5,9,6.5,1,5.5,7,7.5,9,7,7.5,9.5,10,5,8.5,6,8.5,8.5,6,1.5,4.5,5.5,7.5,"fall"
"f24937973",20,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,9,5,0,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,6.5,5.5,6,6,5,5.5,5,5,5,5,7.5,5,3.5,6,5,7,8,5,5.5,6,5,5,5,4,5.5,4,5,"fall"
"f24680839",20,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,12,4,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,6,5,4.5,5,5.5,6,5,6,5,5,5.5,3,6,3.5,5,5.5,5.5,5,5,5,6,5,6,5,6,4,2.5,4.5,3,5,"fall"
"f24193331",20,0,3,NA,0,"",1,"",1,NA,NA,NA,NA,NA,NA,12,4,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5.5,6.5,5,6,5.5,5,5,4,7,4.5,5,6,5,5,5,5,6,5,6.5,5.5,6,4.5,3,4.5,4,5.5,"fall"
"f24458519",18,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,6.5,7.5,5,7,6,7,7,5.5,8.5,7.5,8,2.5,8,7.5,6,5.5,7.5,6,5,6.5,6.5,6.5,6,7.5,8.5,6.5,1,7,5.5,7,"fall"
"f24465081",19,0,1,NA,0,"",1,"",1,NA,NA,NA,NA,1,NA,10,7,0,NA,NA,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,NA,7,7.5,7.5,7.5,8.5,6.5,8,7,8,6.5,6.5,0.5,6,6,6.5,6,6,7.5,8,9,5.5,7,6.5,6,7.5,7,0,5,6.5,6,"fall"
"f24508633",18,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,10,6,0,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,6,6,5,5,7,6,7.5,6.5,7,6.5,7,2.5,6,5.5,5.5,6,7,5,6.5,7.5,6.5,8.5,6.5,7.5,6.5,6,0,6.5,5,5.5,"fall"
"f24432246",19,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,NA,6,7,5,6.5,6.5,6.5,8.5,7,8,6,7,4,7.5,6,7.5,5.5,8,5,6.5,7,6.5,7.5,7.5,8,4.5,6,2,8.5,5.5,7,"fall"
"f24901138",21,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,12,6,0,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,1,1,1,1,7.5,7,5,7.5,5,6,5.5,5,6.5,4.5,6.5,2,5,5,4,5.5,5.5,5,4.5,7,8.5,5.5,5,7.5,4,5,1.5,4.5,5.5,4.5,"fall"
"f24631006",18,1,3,NA,1,"",1,"",NA,NA,1,NA,NA,1,NA,11,3,0,1,1,1,1,1,1,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,6.5,9,4,7,5,8,4.5,6.5,6.5,5,8,5,5.5,6.5,6.5,7.5,10,3.5,7,6,9,7,9,4.5,6,7.5,4,9,7,7,"fall"
"f24331672",18,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,11,6,0,NA,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,NA,1,NA,1,NA,NA,1,NA,1,1,1,1,1,1,NA,6,7.5,7.5,6,6,5,9,7.5,7.5,5,5,3,5,7.5,7,5,7,9,7.5,7.5,5,7,6,7,5.5,6.5,0,5.5,5,5,"fall"
"f24122258",18,0,1,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,5,7,0,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,1,1,1,1,1,1,1,4,8,7,7,7,6,9,6.5,9,6.5,7,1.5,2.5,8.5,5.5,3,8,8.5,5,9,5.5,8,5.5,7.5,8,5.5,1,1.5,5,5.5,"fall"
"f24779527",19,1,1,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,5,5,0,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,6,5,5,5,6.5,7,7,6.5,7.5,6.5,6,4.5,5,6,5,5,4,4.5,6,8,9,6,7,7.5,7.5,5.5,4,6.5,5,4.5,"fall"
"f24791122",19,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,12,2,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,5.5,5,5,5.5,7,7,6,5.5,6,7,7,7,5,5.5,5,6,8,5,6,10,7,6,8,6,9,6,6.5,6,5,5.5,"fall"
"f24112640",19,1,3,NA,1,"",1,"",1,NA,NA,NA,NA,NA,NA,10,6,1,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,NA,8,8.5,7.5,7.5,7.5,8,7,8,7,8,10,5,7.5,7.5,9,7.5,8.5,8,8,10,7.5,6,9,7.5,9.5,6,2,9,7.5,8.5,"fall"
"f24508488",20,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,10,7,0,NA,NA,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6,7,6,6.5,6.5,6.5,8,8,8.5,4,6.5,0,8,6,7,3.5,6.5,3.5,6.5,7,5.5,8.5,7,8,2,6,0,8.5,5.5,6.5,"fall"
"f24877447",18,0,3,NA,0,"",1,"",NA,NA,1,NA,NA,1,NA,2,6,0,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,5,7,5,6.5,8,6,7,5,7,5,5,5.5,6.5,8,6.5,6,7,5,6.5,7.5,6.5,7.5,5.5,6.5,5,5.5,5,6,"fall"
"f24382613",19,1,3,NA,1,"",1,"",NA,NA,NA,NA,NA,1,NA,1,3,0,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,7,7.5,5,6.5,6.5,8.5,7,6,8,9,7,5.5,5,6,8,6.5,10,7.5,10,10,9,8.5,8,7.5,9.5,7.5,8.5,9,6.5,8,"fall"
"f24684457",19,0,3,NA,0,"",1,"",NA,NA,NA,NA,NA,1,NA,10,6,0,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,6,6.5,5,6,5,6.5,5,6,6,5.5,6.5,0,7,7,7.5,5,7.5,5,8,5,5.5,9,5.5,7,6,8,0,4.5,7,8,"fall"
